Image,Duration
C48,28498.0
C4,28498.0
C58,28498.0
C20,28498.0
C21,28498.0
C17,28498.0
C29,28498.0
C13,28498.0
C30,28498.0
C16,28498.0
C59,28498.0
C5,28498.0
C24,28498.0
C7,28498.0
C18,28498.0
C11,28498.0
C54,28498.0
C33,28498.0
C3,28498.0
C8,28498.0
C40,28498.0
C41,28498.0
C47,28498.0
C46,28498.0
C19,28498.0
C10,28498.0
C34,28498.0
C49,28498.0
C2,28498.0
C53,28498.0
C35,28498.0
C14,28498.0
C45,28498.0
C56,28498.0
C36,28498.0
C39,28498.0
C60,28498.0
C44,28498.0
C43,28498.0
C51,28498.0
C55,28498.0
C28,28498.0
C31,28498.0
C57,28498.0
C15,28498.0
C37,28498.0
C52,28498.0
C23,28498.0
C22,28498.0
C12,28498.0
C42,28498.0
C38,28498.0
C50,28498.0
C27,28498.0
C25,28498.0
C32,28498.0
C26,28498.0
C1,28498.0
C6,28498.0
C9,28498.0
