Image,Duration
C48,31693.0
C4,61721.0
C58,90687.0
C20,68593.0
C21,27793.0
C17,81139.0
C29,64017.0
C13,86201.0
C30,67477.0
C16,46219.0
C59,65901.0
C5,53917.0
C24,89750.0
C7,44828.0
C18,52696.0
C11,65440.0
C54,61545.0
C33,41355.0
C3,56908.0
C8,29084.0
C40,28376.0
C41,85497.0
C47,98312.0
C46,14276.0
C19,18169.0
C10,48744.0
C34,35831.0
C49,90215.0
C2,50850.0
C53,70024.0
C35,77303.0
C14,90927.0
C45,109925.0
C56,99692.0
C36,24693.0
C39,31403.0
C60,74617.0
C44,44717.0
C43,61027.0
C51,55045.0
C55,24363.0
C28,67798.0
C31,40502.0
C57,36908.0
C15,27033.0
C37,45777.0
C52,35011.0
C23,63225.0
C22,69695.0
C12,121184.0
C42,77144.0
C38,58099.0
C50,60784.0
C27,105104.0
C25,33285.0
C32,113266.0
C26,38146.0
C1,40704.0
C6,54636.0
C9,107692.0
