Image,Duration
C48,20596.0
C4,20596.0
C58,20596.0
C20,20596.0
C21,20596.0
C17,20596.0
C29,20596.0
C13,20596.0
C30,20596.0
C16,20596.0
C59,20596.0
C5,20596.0
C24,20596.0
C7,20596.0
C18,20596.0
C11,20596.0
C54,20596.0
C33,20596.0
C3,20596.0
C8,20596.0
C40,20596.0
C41,20596.0
C47,20596.0
C46,20596.0
C19,20596.0
C10,20596.0
C34,20596.0
C49,20596.0
C2,20596.0
C53,20596.0
C35,20596.0
C14,20596.0
C45,20596.0
C56,20596.0
C36,20596.0
C39,20596.0
C60,20596.0
C44,20596.0
C43,20596.0
C51,20596.0
C55,20596.0
C28,20596.0
C31,20596.0
C57,20596.0
C15,20596.0
C37,20596.0
C52,20596.0
C23,20596.0
C22,20596.0
C12,20596.0
C42,20596.0
C38,20596.0
C50,20596.0
C27,20596.0
C25,20596.0
C32,20596.0
C26,20596.0
C1,20596.0
C6,20596.0
C9,20596.0
