Image,Duration
C48,6988.0
C4,4642.0
C58,6910.0
C20,10002.0
C21,20964.0
C17,3410.0
C29,7268.0
C13,9028.0
C30,4268.0
C16,167.0
C59,7075.0
C5,8145.0
C24,23912.0
C7,7944.0
C18,4739.0
C11,2909.0
C54,22475.0
C33,9385.0
C3,5934.0
C8,208.0
C40,5159.0
C41,11378.0
C47,208.0
C46,4676.0
C19,16479.0
C10,1932.0
C34,4477.0
C49,1218.0
C2,15248.0
C53,5784.0
C14,18745.0
C45,4874.0
C56,7951.0
C36,4642.0
C39,1559.0
C60,11749.0
C44,4173.0
C43,4668.0
C51,5985.0
C55,5881.0
C28,4550.0
C31,7466.0
C57,9618.0
C15,11476.0
C37,5800.0
C52,6573.0
C23,1100.0
C22,10494.0
C12,8693.0
C42,4591.0
C38,10397.0
C50,6136.0
C27,7011.0
C25,6043.0
C32,717.0
C26,3700.0
C1,11184.0
C6,1143.0
C9,5658.0
