Image,Duration
C48,65985.0
C4,65985.0
C58,65985.0
C20,65985.0
C21,65985.0
C17,65985.0
C29,65985.0
C13,65985.0
C30,65985.0
C16,65985.0
C59,65985.0
C5,65985.0
C24,65985.0
C7,65985.0
C18,65985.0
C11,65985.0
C54,65985.0
C33,65985.0
C3,65985.0
C8,65985.0
C40,65985.0
C41,65985.0
C47,65985.0
C46,65985.0
C19,65985.0
C10,65985.0
C34,65985.0
C49,65985.0
C2,65985.0
C53,65985.0
C35,65985.0
C14,65985.0
C45,65985.0
C56,65985.0
C36,65985.0
C39,65985.0
C60,65985.0
C44,65985.0
C43,65985.0
C51,65985.0
C55,65985.0
C28,65985.0
C31,65985.0
C57,65985.0
C15,65985.0
C37,65985.0
C52,65985.0
C23,65985.0
C22,65985.0
C12,65985.0
C42,65985.0
C38,65985.0
C50,65985.0
C27,65985.0
C25,65985.0
C32,65985.0
C26,65985.0
C1,65985.0
C6,65985.0
C9,65985.0
