Image,Duration
C48,19700.0
C4,15728.0
C58,7052.0
C20,17218.0
C21,7441.0
C17,11875.0
C29,31414.0
C13,15626.0
C30,30534.0
C16,7025.0
C59,9384.0
C5,9242.0
C24,4858.0
C7,19941.0
C18,28594.0
C11,14364.0
C54,14218.0
C33,5217.0
C3,10784.0
C8,7472.0
C40,10409.0
C41,17451.0
C47,7017.0
C46,4357.0
C19,12759.0
C10,18276.0
C34,8874.0
C49,9102.0
C2,43462.0
C53,29828.0
C35,4608.0
C14,25474.0
C45,59846.0
C56,11974.0
C36,7899.0
C39,25699.0
C60,6851.0
C44,5949.0
C43,12177.0
C51,6852.0
C55,4490.0
C28,13819.0
C31,8591.0
C57,32685.0
C15,10395.0
C37,12158.0
C52,8341.0
C23,22973.0
C22,17065.0
C12,12734.0
C42,20777.0
C38,40653.0
C50,16764.0
C27,10891.0
C25,15974.0
C32,24569.0
C26,17675.0
C1,9516.0
C6,17707.0
C9,10298.0
