Image,Duration
C48,15268.0
C4,15268.0
C58,15268.0
C20,15268.0
C21,15268.0
C17,15268.0
C29,15268.0
C13,15268.0
C30,15268.0
C16,15268.0
C59,15268.0
C5,15268.0
C24,15268.0
C7,15268.0
C18,15268.0
C11,15268.0
C54,15268.0
C33,15268.0
C3,15268.0
C8,15268.0
C40,15268.0
C41,15268.0
C47,15268.0
C46,15268.0
C19,15268.0
C10,15268.0
C34,15268.0
C49,15268.0
C2,15268.0
C53,15268.0
C35,15268.0
C14,15268.0
C45,15268.0
C56,15268.0
C36,15268.0
C39,15268.0
C60,15268.0
C44,15268.0
C43,15268.0
C51,15268.0
C55,15268.0
C28,15268.0
C31,15268.0
C57,15268.0
C15,15268.0
C37,15268.0
C52,15268.0
C23,15268.0
C22,15268.0
C12,15268.0
C42,15268.0
C38,15268.0
C50,15268.0
C27,15268.0
C25,15268.0
C32,15268.0
C26,15268.0
C1,15268.0
C6,15268.0
C9,15268.0
