Image,Duration
C48,75083.0
C4,14255.0
C58,11222.0
C20,38888.0
C21,9383.0
C17,36919.0
C29,37312.0
C13,51227.0
C30,37232.0
C16,28330.0
C59,57285.0
C5,8802.0
C24,30398.0
C7,18008.0
C18,9234.0
C11,31338.0
C54,39064.0
C33,6340.0
C3,35777.0
C8,8642.0
C40,36268.0
C41,8175.0
C47,11847.0
C46,12453.0
C19,6668.0
C10,55349.0
C34,11148.0
C49,31990.0
C2,68674.0
C53,59371.0
C35,7559.0
C14,60714.0
C45,26747.0
C56,5551.0
C36,10407.0
C39,25100.0
C60,15568.0
C44,18613.0
C43,23726.0
C51,5840.0
C55,13184.0
C28,20992.0
C31,27918.0
C57,24117.0
C15,14635.0
C37,63090.0
C52,31279.0
C23,56037.0
C22,22828.0
C12,61159.0
C42,31294.0
C38,28994.0
C50,55805.0
C27,41569.0
C25,97999.0
C32,20776.0
C26,36971.0
C1,11391.0
C6,36529.0
C9,18202.0
