Image,Duration
C48,18553.0
C4,21454.0
C58,41667.0
C20,36374.0
C21,38468.0
C17,18091.0
C29,29461.0
C13,20293.0
C30,20947.0
C16,44019.0
C59,29483.0
C5,11836.0
C24,21492.0
C7,18908.0
C18,39784.0
C11,20490.0
C54,22124.0
C33,15017.0
C3,11442.0
C8,16660.0
C40,18746.0
C41,51327.0
C47,16398.0
C46,13956.0
C19,15533.0
C10,49352.0
C34,12016.0
C49,20614.0
C2,23329.0
C53,18309.0
C35,11373.0
C14,26541.0
C45,10692.0
C56,18267.0
C36,4925.0
C39,37136.0
C60,16139.0
C44,6649.0
C43,15269.0
C51,13748.0
C55,8809.0
C28,10184.0
C31,13908.0
C57,15974.0
C15,11226.0
C37,16119.0
C52,15473.0
C23,49648.0
C22,19925.0
C12,24608.0
C42,22035.0
C38,10668.0
C50,44350.0
C27,26625.0
C25,15101.0
C32,27182.0
C26,13634.0
C1,11607.0
C6,7541.0
C9,13807.0
