x,y,gaze,user
48358.4439754601,120861.561374102,275.0,P8
25627.5035092024,131918.781728531,208.0,P8
48204.8565398773,121475.851393793,225.0,P8
42214.9465521472,145279.589656799,108.0,P8
46628.7854723926,153330.748205887,100.0,P8
46833.5533364794,152375.257735055,67.0,P8
56730.666767343,130262.478267237,175.0,P8
47720.8807475224,133606.694915148,300.0,P8
44376.3389674374,160974.67197254,200.0,P8
45048.9300991033,160963.458595528,75.0,P8
45191.8107182633,163618.167921157,83.0,P8
43948.666261444,162344.826664897,83.0,P8
42584.2394185936,159070.52057737,258.0,P8
36762.6848890986,164588.332687832,358.0,P8
36944.6084681453,163375.626729489,100.0,P8
37278.135029731,162981.497293027,250.0,P8
41252.7175762151,155479.748071947,117.0,P8
43166.2841113732,154415.261730734,308.0,P8
34420.4764964605,162998.525013675,175.0,P8
35538.9696120811,162607.764204876,225.0,P8
36570.6082944785,162691.472294999,342.0,P8
35947.2592883435,162611.086686953,175.0,P8
70340.968743747,184866.548301773,242.0,P8
75475.2564190656,187777.042601797,275.0,P8
69692.0987484662,183946.266911848,75.0,P8
68280.4142331288,183216.013038531,133.0,P8
69087.7174214252,185715.442472614,275.0,P8
83190.5791033506,184229.139344293,183.0,P8
85030.028624823,183784.4804929,183.0,P8
81047.9236168003,180126.150851898,175.0,P8
82972.3354185936,179013.0732103,292.0,P8
82568.0607984898,178999.598699651,150.0,P8
83282.2792940066,188189.214961764,83.0,P8
87446.3078810759,189860.054282148,217.0,P8
86759.0410268994,188539.552238619,142.0,P8
87985.3407078811,188889.889515473,225.0,P8
88911.0649778197,187986.451263858,150.0,P8
91364.0335403492,184208.050812216,67.0,P8
92886.8012760736,184585.337110368,150.0,P8
96040.1433128834,188546.843240956,233.0,P8
89362.8741708352,183718.215433685,167.0,P8
95063.1463142992,187416.968606632,358.0,P8
95851.4818235016,188750.945160809,433.0,P8
88068.7800358659,185263.261890962,625.0,P8
94580.4627239263,187351.257294429,192.0,P8
96038.3434601226,188221.101560593,375.0,P8
94768.2473619632,185832.329237929,417.0,P8
93154.379386503,185916.314201558,258.0,P8
95972.7642095328,186371.863410872,350.0,P8
96296.1839056158,188096.600773849,600.0,P8
94948.6018386031,186157.517171279,325.0,P8
90649.8150448324,185483.791638866,117.0,P8
94220.9075224162,186346.160320355,508.0,P8
94935.1260179329,186251.838745817,258.0,P8
89999.6066974988,186734.475413181,150.0,P8
96094.0465955639,186643.522466305,75.0,P8
69108.7157036337,171848.509774517,125.0,P8
52016.2524360547,151768.950901468,67.0,P8
49454.5081566776,149118.671551943,67.0,P8
54639.3301595092,156394.907302002,200.0,P8
60157.6787239263,156061.413163458,258.0,P8
66434.0422010382,157910.789749932,150.0,P8
60339.602302973,154272.671874902,167.0,P8
62674.2882340726,154515.21306657,358.0,P8
41512.7270750354,138867.845285111,92.0,P8
40178.6208286927,135199.409761123,150.0,P8
21197.9274148183,136321.16277259,158.0,P8
71904.2100915526,152820.931789305,125.0,P8
65112.3964738084,155397.931950785,167.0,P8
62747.389946201,155670.790791412,242.0,P8
62838.3517357244,155337.296652867,408.0,P8
62189.1125398773,154339.767554637,217.0,P8
62351.0992883435,154447.74822216,92.0,P8
62276.1054233128,154306.173569185,117.0,P8
62448.7989882019,154327.262101261,133.0,P8
62476.9043813119,154419.599415669,158.0,P8
62963.0492269938,154394.957673593,83.0,P8
60838.2999679093,150955.681121794,208.0,P8
21680.2418046248,131674.394713486,167.0,P8
31645.611190184,128170.92965377,225.0,P8
35909.4162302973,140458.068269528,125.0,P8
29902.8922170835,144780.525161385,158.0,P8
26308.0786031146,149739.975700464,592.0,P8
22073.7173081642,147842.699997371,67.0,P8
22589.1674487966,147660.794103619,150.0,P8
22498.2056592732,147357.617614033,92.0,P8
21888.2863237376,146933.539693289,67.0,P8
19673.5444266163,145893.87967649,133.0,P8
19917.1706503067,145779.300190395,192.0,P8
21999.0003435582,145791.298042342,242.0,P8
19023.2437791411,147866.926429187,208.0,P8
17037.4062331288,145797.296968316,492.0,P8
17670.3544539877,145293.110313032,375.0,P8
21688.2257668711,142861.422596865,225.0,P8
30626.0638263331,137314.907932899,200.0,P8
28786.6143048607,137880.837380126,150.0,P8
37923.2207192071,136284.107868307,158.0,P8
48613.1923662104,118986.943152956,142.0,P8
51261.1911278905,121493.202133532,258.0,P8
49866.4436885323,122261.249240483,108.0,P8
51342.7383029731,122353.632700475,217.0,P8
51108.0190429447,122415.283201249,142.0,P8
52169.9321717791,120354.652129338,300.0,P8
52789.4968721094,121137.650405639,225.0,P8
50356.3728400188,123417.980604934,317.0,P8
49750.0993600755,124441.720395111,392.0,P8
48997.3455554506,127411.281043182,625.0,P8
47648.7020368098,129290.052366926,142.0,P8
47648.7020368098,129335.044311728,117.0,P8
38236.672,136426.974597646,100.0,P8
39091.6020613496,135455.148589933,150.0,P8
36220.8369079754,134555.309693902,367.0,P8
36256.8339631901,137641.757107288,217.0,P8
37678.7176441717,137623.760329368,208.0,P8
40657.4739631901,136795.908545019,200.0,P8
40107.5958697498,136107.093406503,808.0,P8
65688.4416573855,96972.1307608438,117.0,P8
45440.2826993865,89379.1978649655,142.0,P2
47129.7444907975,109343.623504906,192.0,P2
55116.2911411042,170004.762949341,142.0,P2
17026.6071165644,130536.629184228,192.0,P2
22862.9296687116,136065.239361442,125.0,P2
13647.6835337423,139136.689459894,175.0,P2
17333.78198773,107654.325950757,208.0,P2
33455.3862161397,99754.1096082808,242.0,P2
20077.2190957999,103849.068768987,258.0,P2
28667.5009721566,99251.7687763734,292.0,P2
20966.1617593204,99119.5616770334,317.0,P2
19019.0441226993,97487.3462108021,283.0,P2
20437.3280981595,97897.0728547948,92.0,P2
16081.6844171779,96541.9154773722,217.0,P2
15809.9066503067,95780.0518787326,292.0,P2
15424.1382085889,95588.2246843326,192.0,P2
15236.7689211892,95320.5802947439,442.0,P2
15269.8123718735,95420.1624659046,225.0,P2
16030.9193393109,95800.6789549647,225.0,P2
17547.7337159037,95082.053768919,292.0,P2
18250.9684945729,95336.0852111062,392.0,P2
19613.0878338839,96345.8428892062,308.0,P2
18261.3522605002,95866.7594318425,342.0,P2
17885.7368343558,95357.7274901954,308.0,P2
17696.1523435582,95321.7339343542,283.0,P2
17602.5599999999,95290.5395192918,158.0,P2
17736.3029051439,95319.3805095492,317.0,P2
17661.5397904672,95102.1732437226,167.0,P2
17522.8126776781,94916.4372664649,233.0,P2
17462.9098857951,95076.8393178805,158.0,P2
17389.8081736668,95171.2531835871,300.0,P2
17812.1736215195,95269.727860722,250.0,P2
17956.3464426616,95283.9407007209,325.0,P2
17786.7910825861,95343.8376692874,142.0,P2
17725.4576385087,95486.8428353797,250.0,P2
16919.2620519112,96003.5810896236,358.0,P2
18389.9263577159,96295.1288919376,233.0,P2
17750.2863765927,95175.8677420283,225.0,P2
19955.42905899,97886.1363512892,92.0,P2
22536.8332685228,98228.7673155472,292.0,P2
24387.220356772,98784.5908797879,100.0,P2
26442.8829598867,101096.115494146,350.0,P2
27448.4468522888,103656.872409912,133.0,P2
28470.0709693251,105040.270884995,533.0,P2
28316.2066333176,105622.535869103,192.0,P2
28430.7511090136,105090.292698497,308.0,P2
28774.2922359603,107376.437241429,567.0,P2
29552.4285795186,110798.547635827,308.0,P2
29737.8134138744,111159.452251512,542.0,P2
30028.1435092024,113828.328271555,225.0,P2
30388.5755620575,113437.475171587,725.0,P2
30954.744630486,119474.60968902,233.0,P2
30572.6681944313,120531.251280882,550.0,P2
30278.2307428032,121911.696438563,808.0,P2
29780.7329797074,122052.486616603,150.0,P2
26868.2020122699,123537.17464947,92.0,P2
24959.7581349693,124436.321361735,183.0,P2
26213.6555582822,124219.76013409,242.0,P2
30214.7282453987,128447.803160241,542.0,P2
29507.3861104294,134867.253844526,225.0,P2
30146.7953411986,130225.37721737,183.0,P2
30304.1670825861,129920.816360252,83.0,P2
30162.0248645587,129235.554431736,292.0,P2
28492.8691042944,135277.580381116,533.0,P2
22560.4621047664,144160.466943643,200.0,P2
22667.6687192071,145624.7586282,200.0,P2
23664.7409985842,143396.342211367,458.0,P2
23781.316077395,143994.158257423,308.0,P2
22919.8327059934,143794.394022504,450.0,P2
22862.6527682869,144140.716633515,233.0,P2
