timestamp,gaze
635.0,275.0
943.0,208.0
1182.0,225.0
1493.0,108.0
1801.0,100.0
2018.0,67.0
3360.0,175.0
3551.0,300.0
3926.0,200.0
4210.0,75.0
4301.0,83.0
4410.0,83.0
4518.0,258.0
4818.0,358.0
5193.0,100.0
5301.0,250.0
5718.0,117.0
5868.0,308.0
6243.0,175.0
6451.0,225.0
6710.0,342.0
7060.0,175.0
10493.0,242.0
10768.0,275.0
11410.0,75.0
11526.0,133.0
11810.0,275.0
12326.0,183.0
12550.0,183.0
12835.0,175.0
14974.0,292.0
15285.0,150.0
15542.0,83.0
15777.0,217.0
16014.0,142.0
16177.0,225.0
16477.0,150.0
17390.0,67.0
17550.0,150.0
17743.0,233.0
18043.0,167.0
18243.0,358.0
18618.0,433.0
19102.0,625.0
19777.0,192.0
20002.0,375.0
20585.0,417.0
21043.0,258.0
21860.0,350.0
22243.0,600.0
22860.0,325.0
23252.0,117.0
23618.0,508.0
24152.0,258.0
24418.0,150.0
24618.0,75.0
24860.0,125.0
25102.0,67.0
25235.0,67.0
25342.0,200.0
25568.0,258.0
25860.0,150.0
26052.0,167.0
26244.0,358.0
26727.0,92.0
26844.0,150.0
27044.0,158.0
27335.0,125.0
27494.0,167.0
27685.0,242.0
27935.0,408.0
28360.0,217.0
28602.0,92.0
28710.0,117.0
28877.0,133.0
29019.0,158.0
29182.0,83.0
29427.0,208.0
31398.0,167.0
31598.0,225.0
32052.0,125.0
32210.0,158.0
32402.0,592.0
33010.0,67.0
33110.0,150.0
33277.0,92.0
33394.0,67.0
33469.0,133.0
34052.0,192.0
34335.0,242.0
34627.0,208.0
34902.0,492.0
35452.0,375.0
35869.0,225.0
36126.0,200.0
36350.0,150.0
36550.0,158.0
36869.0,142.0
37035.0,258.0
37477.0,108.0
37606.0,217.0
37911.0,142.0
38094.0,300.0
38436.0,225.0
38727.0,317.0
39277.0,392.0
39894.0,625.0
40552.0,142.0
40742.0,117.0
41144.0,100.0
41277.0,150.0
41486.0,367.0
41910.0,217.0
42161.0,208.0
42411.0,200.0
42677.0,808.0
43661.0,117.0
